"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Dewan Sivik Ajil",0,0,0,1,"5.0860012",103.0881124,"Hulu Terengganu","","Terengganu"
"Dewan Sivik Bukit Payong",0,0,0,1,"5.2350597",103.1002088,"Kuala Terengganu","","Terengganu"
"Dewan Sivik Kertih",0,0,0,1,"4.5123031",103.445309,"Kemaman","","Terengganu"
"Dewan Sivik MBPJ",0,0,0,1,"3.097014",101.6431866,"Petaling","","Selangor"
"Dewan SJK China, Kemayan",0,0,0,1,"3.1362257",102.3672366,"Bera","","Pahang"
"Dewan SJKC Telemong",0,0,0,1,"3.2931598",102.086293,"Bentong","","Pahang"
"Dewan Sk Kalabakan",0,0,0,1,"4.4000301",117.4940881,"Tawau","","Sabah"
"Dewan SK Merotai",0,0,0,1,"4.4193927",117.771906,"Tawau","","Sabah"
"Dewan SK Ulu Tembeling",0,0,0,1,"4.497855",102.6456394,"Jerantut","","Pahang"
"Dewan Sri Antanom, Tenom",0,0,0,1,"5.1246352",115.9415571,"Tenom","","Sabah"
"Dewan Sri Balleh",0,0,0,1,"2.0143",112.9494,"Kapit","","Sarawak"
"Dewan Sri Kenyalang UPM",0,0,0,1,"3.2074",113.09,"Bintulu","","Sarawak"
"Dewan Sri Krian",0,0,0,1,"1.73893",111.33682,"Saratok","","Sarawak"
"Dewan Sri Mas, Polimas Jitra",0,0,0,1,"6.24983",100.43215,"Kubang Pasu","","Kedah"
"Dewan Sri Pantu",0,0,0,1,"1.1406618",111.1158002,"Sri Aman","","Sarawak"
"Dewan Sri Putatan, Putatan",0,0,0,1,"5.895831",116.036745,"Putatan","","Sabah"
"Dewan Sri Renjuna",0,0,0,1,"6.19874",102.17071,"Tumpat","","Kelantan"
"Dewan Sri Seroja",0,0,0,1,"2.9441",101.7243,"W.P. Putrajaya","","W.P. Putrajaya"
"Dewan Sri Sulaman",0,0,0,1,"6.1756",116.23242,"Tuaran","","Sabah"
"Dewan Sri Tunjung, Jabatan Pendidikan Negeri Kelantan",0,0,0,1,"6.0631",102.2376,"Kota Bharu","","Kelantan"
"Dewan Suarah Kota Samarahan",0,0,0,1,"1.463",110.4987,"Samarahan","","Sarawak"
"Dewan Suarah Limbang",0,0,0,1,"4.7595",115.0133,"Limbang","","Sarawak"
"Dewan Suarah Lundu",0,0,0,1,"1.67903",109.85224,"Lundu","","Sarawak"
"Dewan Suarah Matu",0,0,0,1,"2.13206",111.52224,"Matu","","Sarawak"
"Dewan Suarah Mukah",0,0,0,1,"2.8988",112.092,"Mukah","","Sarawak"
"Dewan Suarah Sarikei",0,0,0,1,"2.1321",111.5222,"Sarikei","","Sarawak"
"Dewan Suarah Sibu",0,0,0,1,"2.3108",111.8316,"Sibu","","Sarawak"
"Dewan Suarah Sri Aman",0,0,0,1,"1.2410579",111.4553876,"Sri Aman","","Sarawak"
"Dewan Sukan Tatau",0,0,0,1,"2.8809",112.85079,"Tatau","","Sarawak"
"Dewan Sultan Ibrahim UTHM",0,0,0,1,"1.857603",103.0805996,"Batu Pahat","","Johor"
"Dewan Syifa, Padang Mat Sirat",0,0,0,1,"6.3453647",99.7301015,"Langkawi","","Kedah"
"Dewan Taman Mawar",0,0,0,1,"1.4726559",103.8934219,"Johor Bahru","","Johor"
"Dewan Taman Nusantara",0,0,0,1,"1.4671034",103.5779589,"Johor Bahru","","Johor"
"Dewan Taman Sri Guchil",0,0,0,1,"5.54223",102.20544,"Kuala Krai","","Kelantan"
"Dewan Taming Sari, UiTM Lendu",0,0,0,1,"2.36312",102.184061,"Alor Gajah","","Melaka"
"Dewan Tan Sri Ghazali Jawi",0,0,0,1,"3.83739",101.39775,"Muallim","","Perak"
"Dewan Teknologi Abdul Aziz IKM",0,0,0,1,"3.535268",103.3815498,"Pekan","","Pahang"
"Dewan Terbuka Long Lama",0,0,0,1,"3.76408",114.40726,"Telang Usan","","Sarawak"
"Dewan Tuanku Canselor UMK Bachok",0,0,0,1,"5.99824",102.40188,"Bachok","","Kelantan"
"Dewan Tun Ali",0,0,0,1,"2.2308",102.3013,"Melaka Tengah","","Melaka"
"Dewan Tun Dr Ling Liong Sik, Universiti Tun Abdul Rahman, Kampar",0,0,0,1,"4.3403021",101.1355164,"Kampar","","Perak"
"Dewan Tun Mustapa",0,0,0,1,"6.8831917",116.847499,"Kudat","","Sabah"
"Dewan Tun Razak, Temerloh",0,0,0,1,"3.4492468",102.4163542,"Temerloh","","Pahang"
"Dewan Tun Said, Kota Belud",0,0,0,1,"6.3537178",116.4290955,"Kota Belud","","Sabah"
"Dewan Tunku Anum",0,0,0,1,"6.2992",100.4218,"Kubang Pasu","","Kedah"
"Dewan Tunku Ibrahim Ismail, Pekan Nanas",0,0,0,1,"1.5091233",103.5082684,"Pontian","","Johor"
"Dewan Tunku Putra, Kuala Nerang",0,0,0,1,"6.2571",100.61357,"Padang Terap","","Kedah"
"Dewan UITM Raub",0,0,0,1,"3.7646692",101.8596597,"Raub","","Pahang"
"Dewan Umno Pekan Tajau",0,0,0,1,"3.5564981",102.6874703,"Maran","","Pahang"
"Dewan Utama Majlis Daerah Marang",0,0,0,1,"5.2097",103.2007,"Marang","","Terengganu"
"Dewan Utama Pelajar (Dewan Peperiksaan), Jalan Bukit Gambir, USM Gelugor",0,0,0,1,"5.3563131",100.2944155,"Timur Laut","","Pulau Pinang"
"Dewan Warisan, Perlis",0,0,0,1,"6.4401103",100.1858979,"Perlis","","Perlis"
"Dewan Wisma Wanita, Sabah",0,0,0,1,"5.9763278",116.0862722,"Kota Kinabalu","","Sabah"
"Dewan Yayasan Kemiskinan Kelantan",0,0,0,1,"5.99958",102.28966,"Kota Bharu","","Kelantan"
"DTempat",0,0,0,1,"3.646018774",103.4893502,"Seremban","","Negeri Sembilan"
"Encore Melaka",0,0,0,1,"2.1909891",102.219906,"Melaka Tengah","","Melaka"
"Eng Kwang Methodist Multipurpose Hall",0,0,0,1,"3.1920755",113.0425276,"Bintulu","","Sarawak"
"Equatorial Hotel Penang",0,0,0,1,"","","Barat Daya","","Pulau Pinang"
"Federation Of Johore Furniture Manufacturers And Traders Association (MFA)",0,0,0,1,"2.0488336","102.58555620000001","Muar","","Johor"
"Flextronics",0,0,0,1,"5.351255",100.4159419,"Seberang Perai Tengah","","Pulau Pinang"
"Galaxy Mall, Ampang",0,0,0,1,"3.1471156",101.7536844,"Hulu Langat","","Selangor"
"Hospital  Raja Permaisuri Bainun",0,0,0,1,"4.6039191","101.0901656","Kinta","","Perak"
"Hospital Alor Gajah",0,0,0,1,"2.3954442","102.2020059","Alor Gajah","","Melaka"
"Hospital Ampang",0,0,0,1,"3.1282107","101.7640303","Ulu Langat","","Selangor"
"Hospital Bahagia Ulu Kinta",0,0,0,1,"4.675619","101.15074720000001","Kinta","","Perak"
"Hospital Balik Pulau",0,0,0,1,"5.3502289","100.2331295","Barat Daya","","Pulau Pinang"
"Hospital Baling",0,0,0,1,"5.6777182","100.92581650000001","Baling","","Kedah"
"Hospital Banting",0,0,0,1,"2.8028617","101.49382790000001","Kuala Langat","","Selangor"
"Hospital Batu Gajah",0,0,0,1,"4.4794184","101.0350183","Kinta","","Perak"
"Hospital Bau",0,0,0,1,"1.4295005","110.1426433","Bau","","Sarawak"
"Hospital Beaufort",0,0,0,1,"5.3514137","115.74099190000001","Beaufort","","Sabah"
"Hospital Beluran",0,0,0,1,"5.8934947","117.5554309","Beluran","","Sabah"
"Hospital Bentong",0,0,0,1,"3.52623",101.90576,"Bentong","","Pahang"
"Hospital Besut",0,0,0,1,"5.7296503","102.4925699","Besut","","Terengganu"
"Hospital Betong",0,0,0,1,"1.3739821","111.5737668","Betong","","Sarawak"
"Hospital Bintulu",0,0,0,1,"3.2296957","113.1010301","Bintulu","","Sarawak"
"Hospital Bukit Mertajam",0,0,0,1,"5.3593459","100.46406560000001","Seberang Perai Tengah","","Pulau Pinang"
"Hospital Changkat Melintang",0,0,0,1,"4.312958","100.91049100000001","Perak Tengah","","Perak"
"Hospital Daro",0,0,0,1,"2.5218077","111.41316690000001","Daro","","Sarawak"
"Hospital Duchess Of Kent",0,0,0,1,"5.8589537","118.10295590000001","Sandakan","","Sabah"
"Hospital Dungun",0,0,0,1,"4.7518763","103.41483170000001","Dungun","","Terengganu"
"Hospital Enche' Besar Hajjah Khalsom",0,0,0,1,"2.0081238","103.34709450000001","Kluang","","Johor"
"Hospital Gerik",0,0,0,1,"5.4290267","101.12792160000001","Hulu Perak","","Perak"
"Hospital Gua Musang",0,0,0,1,"4.8594875","101.9546244","Gua Musang","","Kelantan"
"Hospital Hulu Terengganu",0,0,0,1,"5.0732163","103.0447747","Hulu Terengganu","","Terengganu"
"Hospital Jasin",0,0,0,1,"2.3048477","102.42960520000001","Alor Gajah","","Melaka"
"Hospital Jelebu",0,0,0,1,"","","Jelebu","","Negeri Sembilan"
"Hospital Jeli",0,0,0,1,"5.7012901","101.84430110000001","Jeli","","Kelantan"
"Hospital Jempol",0,0,0,1,"2.9032324","102.4069305","Jempol","","Negeri Sembilan"
"Hospital Jengka",0,0,0,1,"3.7731272","102.55170650000001","Maran","","Pahang"
"Hospital Jerantut",0,0,0,1,"3.9293159","102.36017030000001","Jerantut","","Pahang"
"Hospital Jitra",0,0,0,1,"6.2787858","100.4190655","Kubang Pasu","","Kedah"
"Hospital Kajang",0,0,0,1,"2.992875","101.79284580000001","Ulu Langat","","Selangor"
"Hospital Kampar",0,0,0,1,"4.3118993","101.1563613","Kampar","","Perak"
"Hospital Kanowit",0,0,0,1,"2.1027581","112.15231390000001","Kanowit","","Sarawak"
"Hospital Kapit",0,0,0,1,"2.0138652","112.9426557","Kapit","","Sarawak"
"Hospital Kemaman",0,0,0,1,"4.232613","103.42105740000001","Kemaman","","Terengganu"
"Hospital Keningau",0,0,0,1,"5.3701277","116.1819528","Keningau","","Sabah"
"Hospital Kinabatangan",0,0,0,1,"5.584963","117.85041790000001","Kinabatangan","","Sabah"
"Hospital Kota Belud",0,0,0,1,"6.3449445","116.42697930000001","Kota Belud","","Sabah"
"Hospital Kota Marudu",0,0,0,1,"6.4573691","116.7760207","Kota Marudu","","Sabah"
"Hospital Kota Tinggi",0,0,0,1,"1.7349832","103.8994971","Kota Tinggi","","Johor"
"Hospital Kuala Kangsar",0,0,0,1,"4.7730658","100.9319681","Kuala Kangsar","","Perak"
"Hospital Kuala Kubu Bharu",0,0,0,1,"3.5642346","101.65307370000001","Ulu Selangor","","Selangor"
"Hospital Kuala Lipis",0,0,0,1,"4.1826046","102.0556135","Lipis","","Pahang"
"Hospital Kuala Lumpur",0,0,0,1,"3.1719188","101.70124990000001","Kuala Lumpur","","W.P. Kuala Lumpur"
"Hospital Kuala Nerang",0,0,0,1,"6.25263","100.60977150000001","Padang Terap","","Kedah"
"Hospital Kuala Penyu",0,0,0,1,"5.5602788","115.5855573","Kuala Penyu","","Sabah"
"Hospital Kudat",0,0,0,1,"6.9066627","116.83794270000001","Kudat","","Sabah"
"Hospital Kulim",0,0,0,1,"5.3931314","100.57303630000001","Kulim","","Kedah"
"Hospital Kunak",0,0,0,1,"4.6771175","118.2322991","Kunak","","Sabah"
"Hospital Labuan",0,0,0,1,"5.311145","115.23001780000001","W.P. Labuan","","W.P. Labuan"
"Hospital Lahad Datu",0,0,0,1,"5.0266887","118.3136736","Lahad Datu","","Sabah"
"Hospital Langkawi",0,0,0,1,"6.3247688","99.79844150000001","Langkawi","","Kedah"
"Hospital Lawas",0,0,0,1,"4.8543947","115.40459080000001","Lawas","","Sarawak"
"Hospital Limbang",0,0,0,1,"4.7642525","115.01903680000001","Limbang","","Sarawak"
"Hospital Lipis",0,0,0,1,"4.18254",102.0552,"Lipis","","Pahang"
"Hospital Lundu",0,0,0,1,"1.6755934","109.85282020000001","Lundu","","Sarawak"
"Hospital Machang",0,0,0,1,"5.7631889","102.22582990000001","Machang","","Kelantan"
"Hospital Marudi",0,0,0,1,"4.1784081","114.3253545","Marudi","","Sarawak"
"Hospital Melaka",0,0,0,1,"2.2172348","102.261335","Melaka Tengah","","Melaka"
"Hospital Mersing",0,0,0,1,"2.429453","103.8453956","Mersing","","Johor"
"Hospital Mesra Bukit Padang",0,0,0,1,"5.9501784","116.1051903","Kota Kinabalu","","Sabah"
"Hospital Miri",0,0,0,1,"4.3743537","113.99981240000001","Miri","","Sarawak"
"Hospital Muadzam Shah",0,0,0,1,"3.0537991","103.0909161","Rompin","","Pahang"
"Hospital Mukah",0,0,0,1,"2.9008306","112.07635210000001","Mukah","","Sarawak"
"Hospital Orang Asli Gombak",0,0,0,1,"3.2919717","101.73097130000001","Gombak","","Selangor"
"Hospital Pakar Sultanah Fatimah",0,0,0,1,"2.057115","102.5744456","Muar","","Johor"
"Hospital Papar",0,0,0,1,"5.7268546","115.9237714","Papar","","Sabah"
"Hospital Parit Buntar",0,0,0,1,"","","Kerian","","Perak"
"Hospital Pasir Mas",0,0,0,1,"6.0139824","102.1189818","Pasir Mas","","Kelantan"
"Hospital Pekan",0,0,0,1,"3.5022692","103.3801102","Pekan","","Pahang"
"Hospital Pengajar UPM",0,0,0,1,"2.980436","101.7181633","Petaling","","Selangor"
"Hospital Permai",0,0,0,1,"","","Johor Bahru","","Johor"
"Hospital Pitas",0,0,0,1,"6.7119297","117.0296452","Pitas","","Sabah"
"Hospital Pontian",0,0,0,1,"1.4984596","103.3852071","Pontian","","Johor"
"Hospital Port Dickson",0,0,0,1,"2.4777276","101.8550101","Port Dickson","","Negeri Sembilan"
"Hospital Pulau Pinang",0,0,0,1,"5.4170514","100.3114489","Timur Laut","","Pulau Pinang"
"Hospital Putrajaya",0,0,0,1,"2.9290529","101.6741956","W.P. Putrajaya","","W.P. Putrajaya"
"Hospital Queen Elizabeth",0,0,0,1,"","","Kota Kinabalu","","Sabah"
"Hospital Queen Elizabeth Ii",0,0,0,1,"5.9664872","116.0937928","Kota Kinabalu","","Sabah"
"Hospital Raja Perempuan Zainab Ii",0,0,0,1,"6.1252883","102.24571200000001","Kota Bharu","","Kelantan"
"Hospital Ranau",0,0,0,1,"5.9533942","116.67094100000001","Ranau","","Sabah"
"Hospital Raub",0,0,0,1,"3.8099055","101.8514277","Raub","","Pahang"
"Hospital Rembau",0,0,0,1,"","","Rembau","","Negeri Sembilan"
"Hospital Rompin",0,0,0,1,"","","Rompin","","Pahang"
"Hospital Saratok",0,0,0,1,"1.7471428","111.33971930000001","Saratok","","Sarawak"
"Hospital Sarikei",0,0,0,1,"2.1319958","111.4920017","Sarikei","","Sarawak"
"Hospital Seberang Jaya",0,0,0,1,"5.3941082","100.4078271","Seberang Perai Tengah","","Pulau Pinang"
"Hospital Segamat",0,0,0,1,"2.4932691","102.85906320000001","Segamat","","Johor"
"Hospital Selama",0,0,0,1,"5.2131237","100.68887520000001","Larut, Matang dan Selama","","Perak"
"Hospital Selayang",0,0,0,1,"3.2426173","101.6464691","Gombak","","Selangor"
"Hospital Semporna",0,0,0,1,"4.4828295",118.6022699,"Semporna","","Sabah"
"Hospital Sentosa",0,0,0,1,"","","Kuching","","Sarawak"
"Hospital Serdang",0,0,0,1,"","","Sepang","","Selangor"
"Hospital Seri Manjung",0,0,0,1,"4.1855526","100.6618251","Manjung","","Perak"
"Hospital Serian",0,0,0,1,"1.1762658","110.56360980000001","Serian","","Sarawak"
"Hospital Setiu",0,0,0,1,"5.5141275","102.76951670000001","Setiu","","Terengganu"
"Hospital Shah Alam",0,0,0,1,"","","Petaling","","Selangor"
"Hospital Sibu",0,0,0,1,"2.296471","111.891889","Sibu","","Sarawak"
"Hospital Sik",0,0,0,1,"5.8122196","100.7269887","Sik","","Kedah"
"Hospital Simunjan",0,0,0,1,"1.3700471","110.78625450000001","Simunjan","","Sarawak"
"Hospital Sipitang",0,0,0,1,"5.0964878","115.562959","Sipitang","","Sabah"
"Hospital Slim River",0,0,0,1,"3.8387897","101.4051714","Muallim","","Perak"
"Hospital Sri Aman",0,0,0,1,"1.2343801","111.46293530000001","Sri Aman","","Sarawak"
"Hospital Sultan Abdul Halim",0,0,0,1,"5.6695817","100.51741460000001","Sungai Petani","","Kedah"
"Hospital Sultan Ahmad Shah",0,0,0,1,"3.45353",102.45321,"Temerloh","","Pahang"
"Hospital Sultan Hj Ahmad Shah",0,0,0,1,"3.453226","102.45317530000001","Temerloh","","Pahang"
"Hospital Sultan Ismail Johor Bahru",0,0,0,1,"1.5463271","103.79089400000001","Johor Bahru","","Johor"
"Hospital Sultan Ismail Petra",0,0,0,1,"","","Kuala Krai","","Kelantan"
"Hospital Sultanah Aminah",0,0,0,1,"","","Johor Bahru","","Johor"
"Hospital Sultanah Bahiyah",0,0,0,1,"6.1488245","100.4063735","Kota Setar","","Kedah"
"Hospital Sultanah Hajjah Kalsom",0,0,0,1,"4.4667742","101.39120890000001","Cameron Highlands","","Pahang"
"Hospital Sultanah Nora Ismail",0,0,0,1,"1.837516","102.94099680000001","Batu Pahat","","Johor"
"Hospital Sultanah Nur Zahirah",0,0,0,1,"5.323906","103.15067370000001","Kuala Terengganu","","Terengganu"
"Hospital Sungai Bakap",0,0,0,1,"5.2192779","100.4972446","Seberang Perai Selatan","","Pulau Pinang"
"Hospital Sungai Buluh",0,0,0,1,"3.2196265","101.5831991","Gombak","","Selangor"
"Hospital Taiping",0,0,0,1,"4.8510726","100.7368622","Larut, Matang dan Selama","","Perak"
"Hospital Tambunan",0,0,0,1,"5.6825392","116.37103040000001","Tambunan","","Sabah"
"Hospital Tampin",0,0,0,1,"2.484776","102.23364380000001","Tampin","","Negeri Sembilan"
"Hospital Tanah Merah",0,0,0,1,"5.8099911","102.1523233","Tanah Merah","","Kelantan"
"Hospital Tangkak",0,0,0,1,"2.2720635","102.5468192","Tangkak","","Johor"
"Hospital Tanjung Karang",0,0,0,1,"","","Kuala Selangor","","Selangor"
"Hospital Tapah",0,0,0,1,"4.2018538","101.25961170000001","Batang Padang","","Perak"
"Hospital Tawau",0,0,0,1,"4.2498168","117.8807429","Tawau","","Sabah"
"Hospital Teluk Intan",0,0,0,1,"4.0046049","101.04032330000001","Hilir Perak","","Perak"
"Hospital Temenggong Seri Maharaja Tun Ibrahim",0,0,0,1,"1.6397458","103.6238512","Kulai","","Johor"
"Hospital Tengku Ampuan Afzan",0,0,0,1,"3.80101",103.32148,"Kuantan","","Pahang"
"Hospital Tengku Ampuan Jemaah",0,0,0,1,"3.7591076","100.9893055","Sabak Bernam","","Selangor"
"Hospital Tengku Ampuan Rahimah",0,0,0,1,"3.0205787","101.43986480000001","Klang","","Selangor"
"Hospital Tengku Anis",0,0,0,1,"5.8329518","102.3877575","Pasir Puteh","","Kelantan"
"Hospital Tenom",0,0,0,1,"5.1231747","115.941286","Tenom","","Sabah"
"Hospital Tuanku Ampuan Najihah",0,0,0,1,"2.7348657","102.2330869","Kuala Pilah","","Negeri Sembilan"
"Hospital Tuanku Fauziah",0,0,0,1,"","","Perlis","","Perlis"
"Hospital Tuanku Ja'Afar",0,0,0,1,"2.7097523","101.94483020000001","Seremban","","Negeri Sembilan"
"Hospital Tuaran",0,0,0,1,"6.143924","116.21902700000001","Tuaran","","Sabah"
"Hospital Tumpat",0,0,0,1,"6.1897387","102.1573041","Tumpat","","Kelantan"
"Hospital Umum Sarawak",0,0,0,1,"1.543644","110.339635","Kuching","","Sarawak"
"Hospital Wanita Dan Kanak - Kanak, Likas",0,0,0,1,"6.0138039","116.11949990000001","Kota Kinabalu","","Sabah"
"Hospital Yan",0,0,0,1,"5.820611","100.3845112","Yan","","Kedah"
"Hotel Wyndham Acmar",0,0,0,1,"3.0589716",101.4719,"Klang","","Selangor"
"Ideal Convention Centre (IDCC)",0,0,0,1,"3.0661007","101.5262653","Petaling","","Selangor"
"Inari Technology Plant 34",0,0,0,1,"5.22544",100.4417352,"Seberang Perai Selatan","","Pulau Pinang"
"Indoor Stadium",0,0,0,1,"2.3363",111.8455,"Sibu","","Sarawak"
"Institut Jantung Negara",0,0,0,1,"3.1704707",101.7066035,"Kuala Lumpur","","W.P. Kuala Lumpur"
"Institut Kanser Negara",0,0,0,1,"2.926907","101.6739021","W.P. Putrajaya","","W.P. Putrajaya"
"Institut Latihan Islam Malaysia",0,0,0,1,"4.8507",115.3774,"Lawas","","Sarawak"
"Intel Penang",0,0,0,1,"5.327538",100.3015869,"Barat Daya","","Pulau Pinang"
"International SOS, Putrajaya International Convention Centre (PICC)",0,0,0,1,"2.8944847",101.6759546,"W.P. Putrajaya","","W.P. Putrajaya"
"IOI City Mall Putrajaya",0,0,0,1,"2.9697004","101.71314890000001","W.P. Putrajaya","","W.P. Kuala Lumpur"
"Jabatan Kesihatan Negeri Sabah (Pacific Sutera)",0,0,0,1,"5.9656319",116.0567205,"Kota Kinabalu","","Sabah"
"Jabil Penang (Plant 1)",0,0,0,1,"5.3037105",100.2894864,"Barat Daya","","Pulau Pinang"
"Keysight Technologies",0,0,0,1,"5.3217205",100.2984594,"Barat Daya","","Pulau Pinang"
"KK Bandar Penawar",0,0,0,1,"1.55332",104.23373,"Kota Tinggi","","Johor"
"KK Munggu Lallang",0,0,0,1,"1.24594",110.922974,"Simunjan","","Sarawak"
"KK Tenggaroh 2",0,0,0,1,"2.08402",103.94636,"Mersing","","Johor"
"Klinik Desa Kampung Pagi",0,0,0,1,"4.4467623",102.4815212,"Jerantut","","Pahang"
"Klinik Icon Seremban 2",0,0,0,1,"2.68529",101.90669,"Seremban","","Negeri Sembilan"
"Klinik Johor 14 Jam",0,0,0,1,"","","Pontian","","Johor"
"Klinik Kesihatan Air Hangat",0,0,0,1,"6.4228023",99.8009285,"Langkawi","","Kedah"
"Klinik Kesihatan Ampangan",0,0,0,1,"2.723785712",101.9881238,"Seremban","","Negeri Sembilan"
"Klinik Kesihatan Apin-Apin",0,0,0,1,"5.4546808",116.2532238,"Keningau","","Sabah"
"Klinik Kesihatan Astana Raja",0,0,0,1,"2.508257129",102.1202293,"Rembau","","Negeri Sembilan"
"Klinik Kesihatan AU2",0,0,0,1,"3.1749588",101.7487479,"Gombak","","Selangor"
"Klinik Kesihatan Bahau",0,0,0,1,"2.808915437",102.3604267,"Jempol","","Negeri Sembilan"
"Klinik Kesihatan Balok",0,0,0,1,"3.9426653",103.4113238,"Kuantan","","Pahang"
"Klinik Kesihatan Bandar Botanik",0,0,0,1,"2.9894992",101.4442897,"Klang","","Selangor"
"Klinik Kesihatan Bandar Seri Putra",0,0,0,1,"2.8879001",101.790024,"Ulu Langat","","Selangor"
"Klinik Kesihatan Bandar Tun Hussein Onn",0,0,0,1,"3.0543762",101.7569316,"Ulu Langat","","Selangor"
"Klinik Kesihatan Bangi",0,0,0,1,"2.9353833",101.7734029,"Ulu Langat","","Selangor"
"Klinik Kesihatan Batu 8",0,0,0,1,"3.2460154",101.7225779,"Gombak","","Selangor"
"Klinik Kesihatan Batu Arang",0,0,0,1,"3.3192115",101.4724868,"Gombak","","Selangor"
"Klinik Kesihatan Beserah",0,0,0,1,"3.8502385",103.3630454,"Kuantan","","Pahang"
"Klinik Kesihatan Bingkor",0,0,0,1,"5.4052903","116.19034640000001","Keningau","","Sabah"
"Klinik Kesihatan Bukit Belacon",0,0,0,1,"","","Lahad Datu","","Sabah"
"Klinik Kesihatan Bukit Changgang",0,0,0,1,"","","Kuala Langat","","Selangor"
"Klinik Kesihatan Bukit Goh (Felda)",0,0,0,1,"3.9134005",103.2577495,"Kuantan","","Pahang"
"Klinik Kesihatan Bukit Kuda",0,0,0,1,"3.0506643","101.45820950000001","Klang","","Selangor"
"Klinik Kesihatan Bukit Naga",0,0,0,1,"3.003293","101.50531310000001","Klang","","Selangor"
"Klinik Kesihatan Bukit Pelandok",0,0,0,1,"2.637353669",101.7622413,"Port Dickson","","Negeri Sembilan"
"Klinik Kesihatan Chennah",0,0,0,1,"3.091879266",102.0737296,"Jelebu","","Negeri Sembilan"
"Klinik Kesihatan Chenor",0,0,0,1,"3.4863215",102.5579904,"Maran","","Pahang"
"Klinik Kesihatan Damak",0,0,0,1,"3.9554716",102.2167773,"Jerantut","","Pahang"
"Klinik Kesihatan Dengkil",0,0,0,1,"2.859256","101.68178700000001","Sepang","","Selangor"
"Klinik Kesihatan Felda Lepar Utara 4",0,0,0,1,"3.9094054",102.8075557,"Jerantut","","Pahang"
"Klinik Kesihatan Felda Sahabat",0,0,0,1,"5.0786806","119.060749","Lahad Datu","","Sabah"
"Klinik Kesihatan Gambang",0,0,0,1,"3.7151978",103.137399,"Kuantan","","Pahang"
"Klinik Kesihatan Gemas",0,0,0,1,"2.584255429",102.6049176,"Tampin","","Negeri Sembilan"
"Klinik Kesihatan Gemencheh",0,0,0,1,"2.532954081",102.4005382,"Tampin","","Negeri Sembilan"
"Klinik Kesihatan Gombak Setia",0,0,0,1,"3.2178664","101.7142398","Gombak","","Selangor"
"Klinik Kesihatan Gunung Pasir",0,0,0,1,"2.668274622",102.1464204,"Kuala Pilah","","Negeri Sembilan"
"Klinik Kesihatan Indera Mahkota",0,0,0,1,"3.825132",103.2842324,"Kuantan","","Pahang"
"Klinik Kesihatan Jawi-Jawi",0,0,0,1,"","","Kota Belud","","Sabah"
"Klinik Kesihatan Jaya Gading",0,0,0,1,"3.7536438",103.2046437,"Kuantan","","Pahang"
"Klinik Kesihatan Jelai",0,0,0,1,"2.646018774",102.4893502,"Tampin","","Negeri Sembilan"
"Klinik Kesihatan Jengka 22",0,0,0,1,"3.71966",102.4967754,"Maran","","Pahang"
"Klinik Kesihatan Jenjarom",0,0,0,1,"2.8784422","101.50044960000001","Kuala Langat","","Selangor"
"Klinik Kesihatan Jeram",0,0,0,1,"","","Kuala Selangor","","Selangor"
"Klinik Kesihatan Jerantut Feri",0,0,0,1,"3.9788347",102.5292537,"Jerantut","","Pahang"
"Klinik Kesihatan Johol",0,0,0,1,"2.609393721",102.2689065,"Kuala Pilah","","Negeri Sembilan"
"Klinik Kesihatan Juasseh",0,0,0,1,"2.79458057",102.3064786,"Kuala Pilah","","Negeri Sembilan"
"Klinik Kesihatan Kaingaran",0,0,0,1,"6.0917658","116.9725138","Ranau","","Sabah"
"Klinik Kesihatan Kampung Bandar",0,0,0,1,"2.8514869","101.44430100000001","Kuala Langat","","Selangor"
"Klinik Kesihatan Kelana Jaya",0,0,0,1,"","","Petaling","","Selangor"
"Klinik Kesihatan Klang (Anika)",0,0,0,1,"3.0371852","101.4470076","Klang","","Selangor"
"Klinik Kesihatan Kota Damansara",0,0,0,1,"3.1765223","101.57565100000001","Petaling","","Selangor"
"Klinik Kesihatan Kuala Pilah",0,0,0,1,"2.701325631",102.2408803,"Kuala Pilah","","Negeri Sembilan"
"Klinik Kesihatan Kuala Selangor",0,0,0,1,"3.337005","101.2499241","Kuala Selangor","","Selangor"
"Klinik Kesihatan Kuala Tahan",0,0,0,1,"","","Jerantut","","Pahang"
"Klinik Kesihatan Kuang",0,0,0,1,"3.2594189","101.55195","Gombak","","Selangor"
"Klinik Kesihatan Kurnia",0,0,0,1,"3.7800225",103.2863086,"Kuantan","","Pahang"
"Klinik Kesihatan Langkon",0,0,0,1,"6.5704335","116.70583730000001","Kota Marudu","","Sabah"
"Klinik Kesihatan Lui Muda",0,0,0,1,"3.026170703",102.369397,"Jempol","","Negeri Sembilan"
"Klinik Kesihatan Lukut",0,0,0,1,"2.585452297",101.8662832,"Port Dickson","","Negeri Sembilan"
"Klinik Kesihatan Luyang",0,0,0,1,"5.9463533","116.09112180000001","Kota Kinabalu","","Sabah"
"Klinik Kesihatan Mantin",0,0,0,1,"2.825088447",101.89376,"Seremban","","Negeri Sembilan"
"Klinik Kesihatan Merapoh",0,0,0,1,"4.693617",102.0015725,"Lipis","","Pahang"
"Klinik Kesihatan Meru",0,0,0,1,"3.1363776","101.4409284","Klang","","Selangor"
